,0,1,2,3,4
72,0.042056479,0.571248912,1.973211157,0.186789964,0.236873938
64,0.051019976,0.538286756,1.363964832,1.151292789,3.191943438
37,-0.093597447,0.424295456,1.176357218,0.232253201,3.795762561
49,0.0861766,0.542578221,1.502318076,1.204103766,2.337896873
42,0.007652219,0.523880239,1.50725413,0.876145539,0.148679473
87,-0.062191887,0.529358188,1.784354088,1.045102587,3.065237427
28,-0.044741849,0.434486226,1.794317476,0.546038565,0.422162709
51,-0.011920268,0.323047455,1.815547256,1.857667068,1.753811188
60,0.042454517,0.271322133,1.810488502,0.807993203,1.045661558
20,-0.095438503,0.453613762,1.35421317,1.035443062,3.803967905
